"نام مرکز درمانی
",نوع  ,خدمات,زمینه تخصصی,"سازمان
 متبوع",استان,شهر,IPD
كوثر زیرکوه,درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان جنوبی,زیركوه,No
جدید زاوه,درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,زاوه,No
شبكه بهداشت و درمان بدره,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,ایلام,بدره,No
امام خمینی (ره) بم,درمانی,,عمومی,دانشگاه علوم پزشکی,كرمان,بم‌,No
مركز بهداشتی درمانی شبانه روزی شهید نیكنام مصیری,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,فارس,رستم,No
527 ارتش سراب,درمانی,,عمومی,ارتش جمهوری اسلامی ایران,آذربایجان شرقی,سراب,No
امام حسین(ع) كنارك ,درمانی,,عمومی,دانشگاه علوم پزشکی,سیستان وبلوچستان,كنارك,No
521 ارتش مراغه,درمانی,,عمومی,ارتش جمهوری اسلامی ایران,آذربایجان شرقی,مراغه,No
مركز درمان بستر لقمان حكیم,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,گلستان,مراوه تپه,No
حضرت سجاد (ع) شهرضا,درمانی,,عمومی,دانشگاه علوم پزشکی,اصفهان,شهرضا,No
آریا سنندج,درمانی,,عمومی,بخش خصوصی,كردستان,سنندج‌,No
مركز درمان بستر شهید البرزی طالقان,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,البرز,طالقان,No
كلینیك تخصصی و فوق تخصصی دانشكده علوم پزشكی,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,چهارمحال وبختیاری,شهركرد,No
كلینیك شهید مفتح,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,کهگیلویه و بویراحمد,یاسوج (بویر احمد),No
كلینیك ویژه نظام مافی,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,خوزستان,شوش‌,No
كلینیك تخصصی و فوق تخصصی قطب الدین,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,فارس,شیراز,No
شهید مظفری عادل آباد شیراز ,درمانی,,عمومی,سایر سازمانها,فارس,شیراز,No
جدید صالح آباد,درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,تربت ‌جام‌,No
كلینیك ویژه شهداء طارم,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,زنجان,ط‌ارم‌,No
كتینیك ویژه عباس آباد,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,مازندران,عباس ‌آباد,No
كلینیك ویژه فوق تخصصی ویلا,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,گلستان,گرگان‌,No
عنبرآباد,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,كرمان,عنبرآباد,No
ولیعصر (عج) فنوج,درمانی,,عمومی,دانشگاه علوم پزشکی,سیستان وبلوچستان,فنوج,No
امام رضا (ع) مه ولات,درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,مه ولات,No
توحید خرم آباد,درمانی,,عمومی,بخش خصوصی,لرستان,خرم ‌اباد,No
شهید فرج الله رضازاده قائمیه,درمانی,,عمومی,دانشگاه علوم پزشکی,فارس,كازرون‌,No
553 ارتش قزوین,آموزشی، درمانی، پژوهشی,,عمومی,ارتش جمهوری اسلامی ایران,قزوین,قزوین‌,No
كلینیك ,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,قزوین,قزوین‌,No
احمد نژاد كتالم,درمانی,,عمومی,دانشگاه آزاد اسلامی,مازندران,رامسر,No
امام حسین (ع) كرمانشاه,درمانی,,عمومی,سپاه پاسداران انقلاب اسلامی,كرمانشاه,كرمانشاه‌,No
مركز درمانی كهره,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,ایلام,كهره,No
مركز جراحی محدود پارسیان,درمانی,,عمومی,بخش خصوصی,اصفهان,كاشان,No
كلینیك ویژه تخصصی عصر دانشگاه,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,البرز,كرج‌,No
كلینیك ویژه دانشگاه مهدیه2 (هلال احمر),آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,كرمانشاه,كرمانشاه‌,No
كلینیك فوق تخصصی دانشگاه (مهدیه1),آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,كرمانشاه,كرمانشاه‌,No
كوهدشت,درمانی,,عمومی,دانشگاه علوم پزشکی,لرستان,كوهدشت‌,No
خاتم الانبیا (ص) خلیل آباد,درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,خلیل آباد,No
كلینیك شفاء گچساران,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,کهگیلویه و بویراحمد,گچساران‌,No
64 تخت خوابی گچساران,درمانی,,عمومی,آموزش و پرورش,کهگیلویه و بویراحمد,گچساران‌,No
امید مهرستان,درمانی,,عمومی,دانشگاه علوم پزشکی,سیستان و بلوچستان,مهرستان,No
كلینیك تخصصی و فوق تخصصی امام خمینی (ره) گرمسار,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,سمنان,گرمسار,No
درمانگاه تخصصی پایگاه بهداشت ضمیمه گمیشان,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,گلستان,گمیشان,No
كلینیك تخصصی و فوق تخصصی هاشمی زاده,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,فارس,لار,No
دكتر پیروز,درمانی,,عمومی,دانشگاه علوم پزشکی,گیلان,لاهیجان‌,No
مركز درمان بستر لنده,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,كهگیلویه وبویراحمد,لنده,No
شبكه بهداشت و درمان سیروان,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,ایلام,سیروان,No
مركز درمان بستر بهمئی,درمانی,,عمومی,دانشگاه علوم پزشکی,کهگیلویه و بویر احمد,بهمئی,No
كلینیك ویژه شماره 1 دانشگاه,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,ایلام,ایلام‌,No
64 تخته مانه,درمانی,,عمومی,آموزش و پرورش,خراسان جنوبی,مانه و سملقان,No
مركز بهداشتی درمانی شبانه روزی دكتر علیم مروستی,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,یزد,خاتم,No
كلینیك های ویژه دانشگاه علوم پزشكی اصفهان,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,اصفهان,اصفهان‌,No
شبكه بهداشت و درمان ملكشاهی,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,ایلام,ملكشاهی,No
امام خمینی (ره) شهرستان كوثر,درمانی,,عمومی,دانشگاه علوم پزشکی,اردبیل,كوثر,No
كلینیك ویژه تخصصی مهدیشهر,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,سمنان,مهدی شهر,No
امام رضا (ع) میامی,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,سمنان,میامی,No
حضرت قائم,درمانی,,عمومی,سپاه پاسداران انقلاب اسلامی,بوشهر,بوشهر,No
شهداء پارس آباد,درمانی,,عمومی,دانشگاه علوم پزشکی,اردبیل,پارس ‌اباد,No
شهداء رضوانشهر,درمانی,,عمومی,دانشگاه علوم پزشکی,اصفهان,رضوانشهر,No
حضرت فاطمه (س) مهریز,درمانی,,عمومی,دانشگاه علوم پزشکی,یزد,مهریز,No
مركز آموزشی درمانی قم ,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,قم,قم‌,No
دارالشفاء میرجاوه,درمانی,,عمومی,دانشگاه علوم پزشکی,سیستان وبلوچستان,میرجاوه,No
كلینیك حاج مصطفی آشوری,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,مازندران,میاندورود,No
كلینیك تخصصی فخریه,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,همدان,ملایر,No
كلینیك تخصصی و فوق تخصصی احمد نادر كاظمی,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,فارس,شیراز,No
كلینیك ویژه شماره 2 دانشگاه,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,ایلام,ایلام‌,No
یادگار تهران,درمانی,,عمومی,بخش خصوصی,تهران,ری,No
جواد الائمه (ع) نرماشیر,درمانی,,عمومی,دانشگاه علوم پزشکی,كرمان,نرماشیر,No
كلینیك طوبی نكا,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,مازندران,نكا,No
آیت الله  خاتمی هرات,درمانی,,عمومی,دانشگاه علوم پزشکی,یزد,خاتم,No
كلینیك تخصصی وفوق تخصصی شیخ الرئیس ,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,همدان,همدان‌,No
امام خمینی (ره) همدان,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,همدان,همدان‌,No
ورزنه,درمانی,,عمومی,دانشگاه علوم پزشکی,اصفهان,اصفهان‌,No
امام رضا(ع) دلگان,درمانی,,عمومی,دانشگاه علوم پزشکی,سیستان وبلوچستان,دلگان,No
رامتین تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,No
شهید بهشتی یاسوج,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,کهگیلویه و بویراحمد,یاسوج (بویر احمد),No
زاگرس,درمانی,,عمومی,بخش خصوصی,کهگیلویه و بویراحمد,یاسوج (بویر احمد),No
امید یاسوج,درمانی,,عمومی,بخش خصوصی,کهگیلویه و بویراحمد,یاسوج (بویر احمد),No
دانشگاه آزاد یاسوج,درمانی,,عمومی,دانشگاه آزاد اسلامی,کهگیلویه و بویراحمد,یاسوج (بویر احمد),No
كلینیك تخصصی رهنمون,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,یزد,یزد,No
كلینیك تخصصی دندانپزشكی خاتم الانبیاء,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,یزد,یزد,No
كلینیك دیابت,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,یزد,یزد,No
كلینیك امام علی (ع) یزد,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,یزد,یزد,No
كلینیك خاتم الانبیاء,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,یزد,یزد,No
کلینیک مصطفویان ساری,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,مازندران,ساری,No
کلینیک طوبی ساری,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,مازندران,ساری,No
96 تختخوابی آران و بیدگل,درمانی,,عمومی,دانشگاه علوم پزشکی,کاشان,آران و بیدگل,No
44 تختخوابی ثامن,درمانی,,عمومی,دانشگاه علوم پزشکی,کاشان,آران و بیدگل,No
560 ارتش,درمانی,,عمومی,ارتش جمهوری اسلامی ایران,گلستان,گرگان‌,No
جواد الائمه (ع) مشهد,درمانی,,عمومی,سازمانهای خیریه,خراسان رضوی,مشهد,Yes
امام زمان (ع) مشهد,درمانی,,عمومی,سازمانهای خیریه,خراسان رضوی,مشهد,Yes
پاستورنو تهران,درمانی,,عمومی,بخش خصوصی,خراسان رضوی,مشهد,Yes
آریا مشهد,درمانی,,عمومی,بخش خصوصی,خراسان رضوی,مشهد,Yes
امام رضا (ع) مشهد,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,مشهد,Yes
قائم (عج) مشهد,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,مشهد,Yes
آیت الله طالقانی مشهد,درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,مشهد,Yes
رضوی مشهد,درمانی,,عمومی,سایر سازمانها,خراسان رضوی,مشهد,Yes
سینا مشهد,درمانی,,عمومی,بخش خصوصی,خراسان رضوی,مشهد,Yes
بنت الهدی مشهد,درمانی,,عمومی,بخش خصوصی,خراسان رضوی,مشهد,Yes
مهر مشهد,درمانی,,عمومی,بخش خصوصی,خراسان رضوی,مشهد,Yes
علوی مشهد,درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,مشهد,No
شهید هاشمی نژاد مشهد ,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,مشهد,No
منتصریه (فوق تخصصی دیالیز وپیوند اعضا),درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,مشهد,No
سوانح شهید كامیاب مشهد,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,مشهد,No
دكتر علی شریعتی مشهد,درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,مشهد,No
موسی بن جعفر (ع) مشهد,درمانی,,عمومی,سازمانهای خیریه,خراسان رضوی,مشهد,No
17 شهریور مشهد,درمانی,,عمومی,سازمان تامین اجتماعی,خراسان رضوی,مشهد,No
امام هادی (ع) مشهد,درمانی,,عمومی,سازمانهای خیریه,خراسان رضوی,مشهد,No
امام حسین (ع) مشهد,درمانی,,عمومی,سپاه پاسداران انقلاب اسلامی,خراسان رضوی,مشهد,No
مادر مشهد,درمانی,,عمومی,بخش خصوصی,خراسان رضوی,مشهد,No
فارابی مشهد,درمانی,,عمومی,سازمان تامین اجتماعی,خراسان رضوی,مشهد,No
ثامن الائمه (ع) ناجا مشهد,درمانی,,عمومی,نیروی انتظامی جمهوری اسلامی ایران,خراسان رضوی,مشهد,No
شمس الشموس مشهد,درمانی,,عمومی,ارتش جمهوری اسلامی ایران,خراسان رضوی,مشهد,No
22 بهمن مشهد,درمانی,,عمومی,سازمانهای خیریه,خراسان رضوی,مشهد,No
امام سجاد (ع) مشهد,درمانی,,عمومی,سازمانهای خیریه,خراسان رضوی,مشهد,No
مهرگان مشهد ,درمانی,,عمومی,بخش خصوصی,خراسان رضوی,مشهد,No
610 امام رضا,درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,مشهد,No
امام علی (ع) كرمانشاه,آموزشی، درمانی,,قلب,دانشگاه علوم پزشکی,كرمانشاه,كرمانشاه‌,Yes
شهید رجایی تهران,آموزشی، درمانی، پژوهشی,,قلب,دانشگاه علوم پزشکی,تهران,تهران,Yes
قلب فرشچیان,آموزشی، درمانی، پژوهشی,,قلب,دانشگاه علوم پزشکی,همدان,همدان‌,No
امام علی (ع) كاشان,آموزشی، درمانی,,قلب,دانشگاه علوم پزشکی,اصفهان,كاشان,No
شهید دكتر چمران اصفهان,آموزشی، درمانی,,قلب,دانشگاه علوم پزشکی,اصفهان,اصفهان‌,No
شهید مدنی تبریز,آموزشی، درمانی,,قلب,دانشگاه علوم پزشکی,آذربایجان شرقی,تبریز,No
مركز قلب تهران,آموزشی، درمانی، پژوهشی,,قلب,دانشگاه علوم پزشکی,تهران,تهران,No
فاطمه الزهرا (س) ساری,آموزشی، درمانی، پژوهشی,,قلب,دانشگاه علوم پزشکی,مازندران,ساری,No
سینا اصفهان,درمانی,,قلب,بخش خصوصی,اصفهان,اصفهان‌,No
شهید دكتر لواسانی,درمانی,,قلب,سازمان تامین اجتماعی,تهران,تهران,No
شفا گرگان,درمانی,,قلب,بخش خصوصی,گلستان,گرگان‌,No
جواد الائمه (ع) قلب وعروق مشهد,درمانی,,قلب,سازمانهای خیریه,خراسان رضوی,مشهد,No
سیدالشهداء (ع) ارومیه,آموزشی، درمانی,,قلب,دانشگاه علوم پزشکی,آذربایجان غربی,ارومیه‌,No
قلب بوشهر,آموزشی، درمانی,,قلب,دانشگاه علوم پزشکی,بوشهر,بوشهر,No
تامین اجتماعی تاکستان,درمانی,,,سازمان تامین اجتماعی,قزوین,تاكستان‌,No
رازی کرمانشاه,درمانی,,,دانشگاه علوم پزشکی,كرمانشاه,كرمانشاه‌,No
امام خمینی (ره) خاش,درمانی,,,دانشگاه علوم پزشکی,سیستان وبلوچستان,خاش‌,No
چهارمین شهید محراب کرمانشاه,درمانی,,,دانشگاه علوم پزشکی,كرمانشاه,كرمانشاه‌,No
خاتم الانبیا (ص) شیراز,درمانی,,,دانشگاه علوم پزشکی,فارس,شیراز,No
فاتح نژاد شیراز ,درمانی,,,بخش خصوصی,فارس,شیراز,No
هشترودیان تهران,درمانی,,,بخش خصوصی,تهران,تهران,No
کلینیک تخصصی و فوق تخصصی آرین آمل,آموزشی، درمانی، پژوهشی,,,دانشگاه علوم پزشکی,مازندران,امل‌,No
سینا چابهار,درمانی,,,دانشگاه علوم پزشکی,سیستان وبلوچستان,چاه‌ بهار,No
کلینیک شفا رامسر,آموزشی، درمانی، پژوهشی,,,دانشگاه علوم پزشکی,مازندران,ساری,No
سینا کرمانشاه,آموزشی، درمانی,,,دانشگاه علوم پزشکی,كرمانشاه,كرمانشاه‌,No
